circuitdata_material_db_id,manufacturer,name,ipc_standard,ipc_slash_sheet,tg_min,dk,ul_94,cti,df,td_min,t260,t280,t300,mot,z_cte,z_cte_before_tg,z_cte_after_tg,dielectric_breakdown,water_absorption,thermal_conductivity,,ipc_sm_840_class,electric_strength
,Isola,DE104KF,4101,101,135,4.6,,,,,,,,,,45,230,,,,,,
,Isola,FR406,4101,124,170,4,,,,300,,20,,,,70,260,,,,,,
,Isola,IS415,4101,129,200,3.86,,,,370,,60,,,,65,225,,,,,,
,Isola,G200,4101,30,180,3.7,,,,325,,,,,,55,275,,,,,,
,Isola,Getek,4101,25,180,3.78,,,,345,,,,,,55,275,,,,,,
,Isola,DE156,4101,94,155,4,,,,390,,,,,,45,220,,,,,,
,Isola,I-Tera,4101,,200,3,,,,360,,60,,,,,,,,,,,
,Isola,I-Speed,4101,129,180,3.63,,,,360,,60,,,,60,230,,,,,,
,Isola,P97 + P27,4101,41,260,4.2,,,,,,,,,,54,,,,,,,
,Isola,185HR,4101,126,180,4,,,,340,,15,,,,40,220,,,,,,
,Isola,254,4101,24,150,,,,,340,,,,,,,,,,,,,
,Isola,FR-240,4101,,,,,,,,,,,,,,,,,,,,
,Isola,FR-402,4101,21,140,,,,,320,,,,,,,,,,,,,
,Isola,IS402,4101,21,140,4.25,,,,320,,5,,,,50,250,,,,,,
,Iteq,IT-180A/TC,4101,126,175,4.4,,,,345,,,,,,45,210,,,,,,
,ITEQ,IT-140GBS/GTS,4101,127,144,4.5,,,,365,,60,,,,5,230,,,,,,
,ITEQ,IT-140S/TC,4101,21,140,,,,,,,,,,,,,,,,,,
,ITEQ,IT-150DABS/DATC,4101,126,180,3.6,,,,370,,30,,,,45,250,,,,,,
,ITEQ,IT-150GBS/GTS,4101,128,155,4.5,,,,365,,60,,,,35,230,,,,,,
,ITEQ,IT-158BS/TC,4101,99,155,4.5,,,,345,,30,,,,40,240,,,,,,
,ITEQ,IT-168,4101,128,153,3.9,,,,380,,60,,,,40,210,,,,,,
,ITEQ,IT-170 GRABS/GRATS,4101,130,175,,,,,375,,,,,,50,200,,,,,,
,ITEQ,IT-180iBS/ITC,4101,126,175,4.3,,,,350,,,,,,40,210,,,,,,
,ITEQ,IT-200LKBS/LKTS,4101,126,200,3.8,,,,370,,30,,,,40,200,,,,,,
,ITEQ,IT-258,4101,24,151,4.5,,,,370,,60,,,,40,200,,,,,,
,ITEQ,IT-588,4101,101,137,4.5,,,,345,,15,,,,50,260,,,,,,
,ITEQ,IT-600 (CTI),4101,21,140,4.8,,,,,,,,,,50,280,,,,,,
,ITEQ,IT-859 GT 3W,4101,,105,,,,,380,,,,,,,,,,,,,
,ITEQ,IT-889 GT 2W,4101,,,,,,,,,,,,,,,,,,,,
,ITEQ,ITEQ DSRA AD,4101,,,,,,,,,,,,,,,,,,,,
,ITEQ,ITEQ DSRA adl,4101,,,,,,,,,,,,,,,,,,,,
,Jiangsu Lianxin,LS-4Y,4101,21,140,4.3,,,,300,,5,,,,75,420,,,,,,
,Jumbo,SCB-1-2 1.0 W/MK,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB6168,4101,126,180,4.65,,,,359,,30,,,,45,248,,,,,,
,Kingboard,KB6167,4101,129,175,4.65,,,,357,,30,,,,46,267,,,,,,
,Kingboard,KB1150,4101,,,4.5,,,,,,,,,,,,,,,,,
,Kingboard,KB1151,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB2150,4101,,,,,,,,,,,,,,,,,,,,
